"Spieltyp (Opptional)","Gegner","Start-Datum","End-Datum","Start-Zeit","End-Zeit (Optional)","Treffen (Optional)","Heimspiel","GelÃ¤nde / RÃ¤umlichkeiten","Adresse (Optional)","Infos zum Spiel (Optional)","Nominierung (Optional)","Teilname (Optional)","Zu-/Absagen bis (Stunden vor dem Termin)","Erinnerung zum Zu-/Absagen (Stunden vor dem Termin)","_Season","_Gender","_Result"
"Spiel","Geraer VC I","20.09.2025 00:00:00","20.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","SH Lobdeburgschule (07747 Jena)","","Spieltag 8 - Th�ringenliga Damen | Spiel-ID: 1046 | Schiedsrichter: SV 1860 Oberwei�bach","","","13.09.2025 00:00:00","06.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","SV 1860 Oberwei�bach","20.09.2025 00:00:00","20.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","SH Lobdeburgschule (07747 Jena)","","Spieltag 8 - Th�ringenliga Damen | Spiel-ID: 1047 | Schiedsrichter: Geraer VC I","","","13.09.2025 00:00:00","06.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","SVV Weimar e.V. I","27.09.2025 00:00:00","27.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","Pierre-de-Coubertin Gymnasium (99096 Erfurt)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1002 | Schiedsrichter: Geraer VC I","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","Geraer VC I","27.09.2025 00:00:00","27.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","Pierre-de-Coubertin Gymnasium (99096 Erfurt)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1003 | Schiedsrichter: SVV Weimar e.V. I","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","1. VSV Jena II","27.09.2025 00:00:00","27.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","Multihalle Meiningen (98617 Meiningen)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1004 | Schiedsrichter: SV 1860 Oberwei�bach","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","SV 1860 Oberwei�bach","27.09.2025 00:00:00","27.09.2025 00:00:00","0,458333333333333","0,541666666666667","0,4375","TRUE","Multihalle Meiningen (98617 Meiningen)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1005 | Schiedsrichter: 1. VSV Jena II","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","VC Altenburg I","27.09.2025 00:00:00","27.09.2025 00:00:00","0,459027777777778","0,542361111111111","0,438194444444444","TRUE","SH Reinhard-He� (98529 Suhl)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1001 | Schiedsrichter: Volleyball Gemeinschaft Bleicherode 1","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","Volleyball Gemeinschaft Bleicherode 1","27.09.2025 00:00:00","27.09.2025 00:00:00","0,459722222222222","0,543055555555556","0,438888888888889","TRUE","SH Reinhard-He� (98529 Suhl)","","Spieltag 1 - Th�ringenliga Damen | Spiel-ID: 1000 | Schiedsrichter: VC Altenburg I","","","20.09.2025 00:00:00","13.09.2025 00:00:00","2025/26","weiblich","-"
"Spiel","VC Altenburg I","25.10.2025 00:00:00","25.10.2025 00:00:00","0,416666666666667","0,5","0,395833333333333","TRUE","Georgenberg-SH (95752 Bleicherode)","","Spieltag 2 - Th�ringenliga Damen | Spiel-ID: 1006 | Schiedsrichter: SWE Volley-Team III","","","18.10.2025 00:00:00","11.10.2025 00:00:00","2025/26","weiblich","-"
"Spiel","SWE Volley-Team III","25.10.2025 00:00:00","25.10.2025 00:00:00","0,416666666666667","0,5","0,395833333333333","TRUE","Georgenberg-SH (95752 Bleicherode)","","Spieltag 2 - Th�ringenliga Damen | Spiel-ID: 1007 | Schiedsrichter: VC Altenburg I","","","18.10.2025 00:00:00","11.10.2025 00:00:00","2025/26","weiblich","-"
"Spiel","Geraer VC I","25.10.2025 00:00:00","25.10.2025 00:00:00","0,416666666666667","0,5","0,395833333333333","TRUE","Westsporthalle (99427 Weimar)","","Spieltag 2 - Th�ringenliga Damen | Spiel-ID: 1008 | Schiedsrichter: VV70 Meiningen I","","","18.10.2025 00:00:00","11.10.2025 00:00:00","2025/26","weiblich","-"
"Spiel","VV70 Meiningen I","25.10.2025 00:00:00","25.10.2025 00:00:00","0,416666666666667","0,5","0,395833333333333","TRUE","Westsporthalle (99427 Weimar)","","Spieltag 2 - Th�ringenliga Damen | Spiel-ID: 1009 | Schiedsrichter: Geraer VC I","","","18.10.2025 00:00:00","11.10.2025 00:00:00","2025/26","weiblich","-"
